,DATA,ANO,MÊS,PERÍODO,PIS_PASEP,COFINS,ICMS,DEMANDA_CONTRATADA_FP,DEMANDA_REGISTRADA_FP,TAR_TUSD_KW_FP,ENERGIA_PONTA,ENERGIA_FPONTA,TAR_TUSD_KWH_P,TAR_TUSD_KWH_FP,TAR_TE_KWH_P,TAR_TE_KWH_FP,REAT_KVAR_PONTA,REAT_KVAR_FPONTA,TAR_REAT_PONTA,TAR_REAT_FPONTA,VALOR_DA_FATURA,CONSUMO_TOTAL,ACRESCIMO_BAMAR,ACRESCIMO_BVERM1,ACRESCIMO_BVERM2
0,-nov-2013,2013,11,32,0.0057,0.0262,0.0,75,54.0,7.51,1304,7325,0.58501,0.02043,0.23177,0.14224,0,590.0,0.208472,0.208472,2912.78,8629,0.0,0.0,0
1,-dez-2013,2013,12,27,0.0047,0.0215,0.0,75,62.0,7.51,1314,7327,0.58501,0.02043,0.23177,0.14224,0,519.0,0.153719,0.153719,2904.46,8641,0.0,0.0,0
2,-jan-2014,2014,1,30,0.0069,0.0317,0.0,75,63.15631507546712,7.51,961,6305,0.58501,0.02043,0.23177,0.14224,0,423.0,0.1497,0.1497,2469.11,7266,0.0,0.0,0
3,-fev-2014,2014,2,33,0.0055,0.0298,0.0,75,57.46894522640136,7.51,1817,11220,0.58501,0.02043,0.23177,0.14224,0,246.0,0.1497,0.1497,4087.73,13037,0.0,0.0,0
4,-mar-2014,2014,3,29,0.0035,0.0163,0.0,75,46.6441014075224,7.51,822,6464,0.58501,0.02043,0.23177,0.14224,0,252.0,0.1497,0.1497,2454.41,7286,0.0,0.0,0
5,-abr-2014,2014,4,30,0.0045,0.0206,0.0,75,40.919049347148714,7.51,1585,8899,0.58501,0.02043,0.23177,0.14224,0,215.0,0.1497,0.1497,3483.62,10484,0.0,0.0,0
6,-mai-2014,2014,5,33,0.0072,0.0331,0.0,75,42.0,7.51,1512,7804,0.58501,0.02043,0.23177,0.14224,0,320.0,0.1497,0.1497,3347.41,9316,0.0,0.0,0
7,-jun-2014,2014,6,28,0.006,0.0277,0.0,75,46.0,7.587067,1402,6986,0.595157,0.021466,0.249872,0.152088,0,320.0,0.160219,0.160219,3189.82,8388,0.0,0.0,0
8,-jul-2014,2014,7,29,0.0054,0.0248,0.0,75,34.0,7.87,1404,6740,0.63239,0.02527,0.31626,0.1882,0,258.0,0.19887,0.19887,3581.95,8144,0.0,0.0,0
9,-ago-2014,2014,8,30,0.0066,0.0303,0.0,75,30.0,7.87,1202,6236,0.63239,0.02527,0.31626,0.1882,0,295.0,0.19887,0.19887,3240.94,7438,0.0,0.0,0
10,-set-2014,2014,9,32,0.0078,0.0361,0.0,75,42.0,7.87,1492,7405,0.63239,0.02527,0.31626,0.1882,0,314.0,0.19887,0.19887,3303.488989180029,8897,0.0,0.0,0
11,-out-2014,2014,10,31,0.007,0.032,0.0,75,45.0,7.87,1339,7423,0.63239,0.02527,0.31626,0.1882,0,277.0,0.19887,0.19887,3642.19,8762,0.0,0.0,0
12,-nov-2014,2014,11,31,0.0061,0.0282,0.0,75,60.0,7.87,1509,1909,0.63239,0.02527,0.31626,0.1882,0,283.0,0.19887,0.19887,3900.15,3418,0.0,0.0,0
13,-dez-2014,2014,12,29,0.0048,0.0223,0.0,75,66.0,7.87,1270,8696,0.63239,0.02527,0.31626,0.1882,0,338.0,0.19887,0.19887,3822.13,9966,0.0,0.0,0
14,-jan-2015,2015,1,31,0.0073,0.0337,0.0,75,35.0,7.87,354,5055,0.63239,0.02527,0.31626,0.1882,0,394.0,0.19887,0.19887,2382.77,5409,0.0,120.38,0
15,-fev-2015,2015,2,32,0.0114,0.0525,0.0,75,51.0,7.87,646,7724,0.63239,0.02527,0.31626,0.1882,0,166.0,0.19887,0.19887,3350.1,8370,0.0,251.1,0
16,-mar-2015,2015,3,29,0.006,0.0278,0.0,75,70.0,7.86172,1683,11082,0.67794,0.068925,0.39095,0.234396,0,117.0,0.247438,0.247438,6650.74,12765,0.0,647.05,0
17,-abr-2015,2015,4,31,0.0037,0.0173,0.25,75,54.0,7.86,1103,7565,0.68743,0.07802,0.40651,0.24402,0,160.0,0.25756,0.25756,6105.89,8668,0.0,476.73,0
18,-mai-2015,2015,5,30,0.0105,0.0483,0.25,75,26.0,7.86,1234,6919,0.68743,0.07802,0.40651,0.24402,0,185.0,0.25756,0.25756,6321.81,8153,0.0,380.54,0
19,-jun-2015,2015,6,30,0.0144,0.0665,0.25,75,34.0,8.342,1415,7688,0.717974,0.07796,0.391318,0.23605,0,154.0,0.248979,0.248979,7198.8,9103,0.0,500.66,0
20,-jul-2015,2015,7,29,0.0111,0.0512,0.25,75,32.0,10.27,963,6574,0.84015,0.07772,0.33055,0.20417,0,154.0,0.2147,0.2147,5707.49,7537,0.0,414.53,0
21,-ago-2015,2015,8,32,0.0078,0.0361,0.25,75,40.0,10.27,1199,7646,0.84015,0.07772,0.33055,0.20417,0,147.0,0.21484375,0.21484375,6424.0,8845,0.0,486.48,0
22,-set-2015,2015,9,30,0.0109,0.0505,0.25,75,42.0,10.27,1365,7592,0.84015,0.07772,0.33055,0.20417,0,170.0,0.2146875,0.2146875,6753.45,8957,0.0,423.96,0
23,-out-2015,2015,10,33,0.0106,0.0484,0.25,75,51.0,10.27,1323,8787,0.84015,0.07772,0.33055,0.20417,0,136.0,0.21465909,0.21465909,7154.27,10110,0.0,454.96,0
24,-nov-2015,2015,11,29,0.0122,0.0565,0.25,75,55.0,10.27,1227,7594,0.84015,0.07772,0.33055,0.20417,0,132.0,0.21479167,0.21479167,6554.75,8821,0.0,396.96,0
25,-dez-2015,2015,12,29,0.0102,0.0469,0.25,75,67.0,10.27,1111,7628,0.84015,0.07772,0.33055,0.20417,0,177.0,0.21472222,0.21472222,6535.32,8739,0.0,393.26,0
26,-jan-2016,2016,1,33,0.0084,0.0388,0.3,75,26.0,10.27,443,5622,0.84015,0.07772,0.33055,0.20417,0,289.0,0.2146875,0.2146875,4585.19,6065,0.0,272.94,0
27,-fev-2016,2016,2,29,0.0106,0.0488,0.3,75,38.0,10.27,532,5958,0.84015,0.07772,0.33055,0.20417,0,226.0,0.21473214,0.21473214,4735.64,6490,0.0,214.84,0
28,-mar-2016,2016,3,30,0.0112,0.0518,0.3,75,42.0,10.27,795,6949,0.84015,0.07772,0.33055,0.20417,0,192.0,0.21473214,0.21473214,5545.47,7744,92.93,46.46,0
29,-abr-2016,2016,4,32,0.0069,0.0319,0.3,75,51.0,10.27,875,7515,0.84015,0.07772,0.33055,0.20417,0,269.0,0.2147,0.2147,5804.46,8390,27.52,0.0,0
30,-mai-2016,2016,5,28,0.0075,0.0337,0.3,75,23.0,10.27,813,5027,0.84015,0.07772,0.33055,0.20417,0,304.0,0.2147,0.2147,4537.31,5840,0.0,0.0,0
31,-jun-2016,2016,6,30,0.0089,0.0413,0.3,75,31.0,10.08451613,1021,6727,0.82516935,0.0749829,0.32893226,0.20462161,0,279.0,0.21497903,0.21497903,5820.99,7748,0.0,0.0,0
32,-jul-2016,2016,7,29,0.0075,0.0351,0.3,75,31.0,9.12,724,5028,0.74727,0.06075,0.32052,0.20697,0,218.0,0.21643,0.21643,4044.7,5752,0.0,0.0,0
33,-ago-2016,2016,8,32,0.0086,0.0395,0.3,75,17.0,9.12,744,5032,0.74727,0.06075,0.32052,0.20697,0,272.0,0.21643,0.21643,4128.1,5776,0.0,0.0,0
34,-set-2016,2016,9,31,0.0107,0.0488,0.3,75,19.0,9.12,777,5003,0.74727,0.06075,0.32052,0.20697,0,253.0,0.21643,0.21643,4235.88,5780,0.0,0.0,0
35,-out-2016,2016,10,32,0.0103,0.0473,0.3,75,46.0,9.12,683,4940,0.74727,0.06075,0.32052,0.20697,0,270.0,0.21643,0.21643,4056.92,5623,0.0,0.0,0
36,-nov-2016,2016,11,30,0.0091,0.0416,0.3,75,30.0,9.12,654,4824,0.74727,0.06075,0.32052,0.20697,0,306.0,0.21643,0.21643,4030.45,5478,0.0,0.0,0
37,-dez-2016,2016,12,29,0.0097,0.0451,0.3,75,39.0,9.12,557,5136,0.74727,0.06075,0.32052,0.20697,0,316.0,0.21643,0.21643,3959.82,5693,17.65,0.0,0
38,-jan-2017,2017,1,32,0.0105,0.0488,0.3,75,22.0,9.12,407,4648,0.74727,0.06075,0.32052,0.20697,0,415.0,0.21643,0.21643,3565.84,5055,0.0,0.0,0
39,-fev-2017,2017,2,27,0.009,0.0416,0.3,75,26.0,9.12,372,4528,0.74727,0.06075,0.32052,0.20697,0,321.0,0.21643,0.21643,3387.81,4900,0.0,0.0,0
40,-mar-2017,2017,3,31,0.0089,0.0413,0.3,53,42.0,9.12,579,6306,0.74727,0.06075,0.32052,0.20697,0,411.0,0.21643,0.21643,4354.82,6885,102.16,0.0,0
41,-abr-2017,2017,4,29,0.0085,0.0388,0.3,53,37.0,9.12,751,5223,0.74727,0.06075,0.28424793,0.17069793,0,435.0,0.18015793,0.18015793,3879.39,5974,32.95,129.76,0
42,-mai-2017,2017,5,33,0.0098,0.0449,0.3,53,17.0,9.12,741,4878,0.74727,0.06075,0.30334636,0.18979636,0,605.0,0.19925636,0.19925636,4076.41,5619,0.0,168.57,0
43,-jun-2017,2017,6,30,0.0117,0.0541,0.3,53,18.0,9.52333333,708,4280,0.76373333,0.057065,0.32142,0.205595,0,617.0,0.215245,0.215245,3860.98,4988,0.0,34.9,0
44,-jul-2017,2017,7,31,0.0102,0.047,0.3,53,14.0,11.54,645,3788,0.848605,0.03864,0.35007,0.22287,0,644.0,0.23347,0.23347,3764.15,4433,106.75,0.0,0
45,-ago-2017,2017,8,30,0.0085,0.0393,0.3,53,15.0,11.54,701,3913,0.848605,0.03864,0.35007,0.22287,0,644.0,0.23347,0.23347,3939.53,4614,33.01,162.72,0
46,-set-2017,2017,9,33,0.0085,0.0394,0.3,53,14.0,11.54,682,4175,0.848605,0.03864,0.35007,0.22287,0,730.0,0.23347,0.23347,4007.9,4857,112.85,54.16,0
47,-out-2017,2017,10,30,0.009,0.0412,0.3,53,31.0,11.54,557,3621,0.848605,0.03864,0.35007,0.22287,0,780.0,0.23347,0.23347,3650.97,4178,21.42,187.57,0
48,-nov-2017,2017,11,29,0.0096,0.0441,0.3,53,28.0,11.54,479,3625,0.848605,0.03864,0.35007,0.22287,0,758.0,0.23347,0.23347,3612.14,4104,0.0,297.85,0
49,-dez-2017,2017,12,30,0.0096,0.0441,0.3,53,35.0,11.54,457,4887,0.848605,0.03864,0.35007,0.22287,0,698.0,0.23347,0.23347,4023.57,5344,0.0,286.7,0
50,-jan-2018,2018,1,31,0.0092,0.0423,0.3,53,19.0,11.54,275,3474,0.848605,0.03864,0.35007,0.22287,0,813.0,0.23347,0.23347,2969.6,3749,0.0,44.75,0
51,-fev-2018,2018,2,30,0.0096,0.0444,0.3,53,30.0,11.54,408,4618,0.848605,0.03864,0.35007,0.22287,0,758.0,0.23347,0.23347,3703.52,5026,0.0,0.0,0
52,-mar-2018,2018,3,29,0.0045,0.0208,0.3,53,36.0,11.54,552,4983,0.848605,0.03864,0.35007,0.22287,0,829.0,0.23347,0.23347,3832.24,5535,0.0,0.0,0
53,-abr-2018,2018,4,28,0.0103,0.0478,0.3,53,28.0,11.54,611,4188,0.848605,0.03864,0.35007,0.22287,0,914.0,0.23347,0.23347,3854.86,4799,0.0,0.0,0
54,-mai-2018,2018,5,33,0.0159,0.0734,0.3,53,27.0,11.54,692,4908,0.848605,0.03864,0.35007,0.22287,0,1106.0,0.23347,0.23347,4621.03,5600,63.9,0.0,0
55,-jun-2018,2018,6,33,0.012,0.0601,0.3,53,33.0,11.94939394,820,4890,0.87728485,0.043733303,0.36109606,0.22860788,0,1116.0,0.23964697,0.23964697,5192.82,5710,18.89,360.41,0
56,-jul-2018,2018,7,28,0.0092,0.0426,0.3,53,27.0,13.47,634,4041,0.9933,0.06265,0.40205,0.24992,0,850.0,0.26259,0.26259,4782.97,4675,0.0,360.71,0
