,DATA,ANO,MÊS,PERÍODO,PIS_PASEP,COFINS,ICMS,DEMANDA_CONTRATADA_FP,DEMANDA_REGISTRADA_P,DEMANDA_REGISTRADA_FP,DEMANDA_ISENTA_FP,TAR_TUSD_KW_FP,ENERGIA_PONTA,ENERGIA_FPONTA,TAR_TUSD_KWH_P,TAR_TUSD_KWH_FP,TAR_TE_KWH_P,TAR_TE_KWH_FP,REAT_KVAR_PONTA,REAT_KVAR_FPONTA,TAR_REAT_PONTA,TAR_REAT_FPONTA,VALOR_DA_FATURA,CONSUMO_TOTAL,ACRESCIMO_BAMAR,ACRESCIMO_BVERM1,ACRESCIMO_BVERM2
0,2015-07-01,2015,7,30,0.0107,0.0493,0.29,551,95.04,84.96,350.84,6.9,4732,24791,0.60759,0.07556,0.43869,0.26897,0,1630,0.28311,0.28311,25771.53,29523,0.0,2497.91,0.0
1,2015-08-01,2015,8,31,0.0089,0.0411,0.29,551,102.24,87.84,389.72,6.9,4531,25167,0.60759,0.07556,0.43869,0.26897,43,2484,0.28311,0.28311,26759.13,29698,0.0,2494.25,0.0
2,2015-09-01,2015,9,31,0.0089,0.0411,0.29,551,123.84,102.24,427.16,6.9,5241,31100,0.60759,0.07556,0.43869,0.26897,0,2032,0.28311,0.28311,30668.28,36341,0.0,2761.97,0.0
3,2015-10-01,2015,10,30,0.0089,0.0411,0.29,551,132.48,161.28,389.72,6.9,5841,34653,0.60759,0.07556,0.43869,0.26897,12,2251,0.28311,0.28311,33514.86,40494,0.0,2760.94,0.0
4,2015-11-01,2015,11,31,0.0129,0.0591,0.29,551,146.88,200.16,350.84,6.9,5699,39928,0.60759,0.07556,0.43869,0.26897,82,3260,0.28311,0.28311,37368.3,45627,0.0,3161.92,0.0
5,2015-12-01,2015,12,30,0.0129,0.0591,0.29,551,131.04,158.4,392.6,6.9,5825,38161,0.60759,0.07556,0.43869,0.26897,6,2683,0.28311,0.28311,36801.36,43986,0.0,3102.43,0.0
6,2016-01-01,2016,1,31,0.0141,0.0649,0.29,551,80.64,129.6,421.4,6.9,2906,29095,0.60759,0.07556,0.43869,0.26897,360,4144,0.28311,0.28311,28845.24,32001,0.0,2269.17,0.0
7,2016-02-01,2016,2,31,0.0141,0.0649,0.29,551,56.16,125.28,425.72,6.9,2657,30669,0.60759,0.07556,0.43869,0.26897,336,3726,0.28311,0.28311,28643.37,33326,0.0,1993.3,0.0
8,2016-03-01,2016,3,29,0.0132,0.0608,0.29,551,139.68,175.68,375.32,6.9,4785,35821,0.60759,0.07556,0.43869,0.26897,82,1854,0.28311,0.28311,32376.34,40606,497.25,928.14,0.0
9,2016-04-04,2016,4,31,0.0121,0.0559,0.29,551,175.68,200.16,350.84,6.9,7560,44901,0.60759,0.07556,0.43869,0.26897,10,1756,0.28311,0.28311,40276.73,52461,635.69,0.0,0.0
10,2016-05-05,2016,5,30,0.0121,0.0559,0.29,551,190.08,220.32,330.68,6.9,6467,40232,0.60759,0.07556,0.43869,0.26897,1,2536,0.28311,0.28311,35837.94,46699,0.0,0.0,0.0
11,2016-06-01,2016,6,31,0.011,0.051,0.29,551,133.92,118.08,417.08,6.9,6008,35017,0.60759,0.07556,0.43869,0.26897,6,1936,0.28311,0.28311,31839.79,41025,0.0,0.0,0.0
12,2016-07-01,2016,7,30,0.01,0.047,0.29,551,131.04,113.76,419.96,10.56,5339,31407,0.698,0.05771,0.33912,0.22159,41,1610,0.23138,0.23138,29683.57,36746,0.0,0.0,0.0
13,2016-08-01,2016,8,31,0.0095,0.0435,0.29,551,119.52,97.92,431.48,10.56,4096,27577,0.698,0.05771,0.33912,0.22159,219,3956,0.23138,0.23138,24921.97,31673,0.0,0.0,0.0
14,2016-09-01,2016,9,31,0.0095,0.0435,0.29,551,122.4,116.64,428.6,10.56,5675,33577,0.698,0.05771,0.33912,0.22159,11,2729,0.23138,0.23138,29133.79,39252,0.0,0.0,0.0
15,2016-10-01,2016,10,30,0.0088,0.0402,0.29,551,123.84,109.44,427.16,10.56,5603,33452,0.698,0.05771,0.33912,0.22159,4,1915,0.23138,0.23138,28628.2,39055,0.0,0.0,0.0
16,2016-11-01,2016,11,31,0.008,0.037,0.29,551,115.2,139.68,411.32,10.56,4246,34817,0.698,0.05771,0.33912,0.22159,89,2345,0.23138,0.23138,27653.21,39063,427.65,0.0,0.0
17,2016-12-01,2016,12,30,0.0073,0.0337,0.29,551,148.32,149.76,401.24,10.56,6073,39520,0.698,0.05771,0.33912,0.22159,56,1870,0.23138,0.23138,31983.48,45593,512.66,0.0,0.0
18,2017-01-01,2017,1,31,0.0073,0.0337,0.29,551,126.72,116.64,424.28,10.56,4155,38111,0.698,0.05771,0.33912,0.22159,795,7478,0.23138,0.23138,30020.35,42266,0.0,0.0,0.0
19,2017-02-01,2017,2,31,0.008,0.037,0.29,551,79.2,133.92,417.08,10.56,3840,39674,0.698,0.05771,0.33912,0.22159,779,5499,0.23138,0.23138,29639.63,43514,0.0,0.0,0.0
20,2017-03-01,2017,3,28,0.0089,0.0406,0.29,551,201.6,236.16,314.84,10.56,5974,50583,0.698,0.05771,0.33912,0.22159,137,2135,0.23138,0.23138,37316.25,56557,914.59,0.0,0.0
21,2017-04-04,2017,4,31,0.0097,0.0448,0.29,551,191.52,194.4,356.6,10.56,8634,58521,0.698,0.05771,0.33912,0.22159,18,1880,0.23138,0.23138,43909.93,67155,1053.43,1481.26,0.0
22,2017-05-05,2017,5,30,0.0107,0.0493,0.29,446,168.48,151.2,277.52,10.56,6842,50103,0.698,0.05771,0.33912,0.22159,0,2492,0.23138,0.23138,36603.08,56945,0.0,2617.15,0.0
23,2017-06-01,2017,6,31,0.0118,0.0542,0.29,446,158.4,148.32,287.6,10.56,8123,51825,0.698,0.05771,0.33912,0.22159,0,1740,0.23138,0.23138,40259.56,59948,0.0,1434.49,0.0
24,2017-07-01,2017,7,30,0.013,0.0596,0.29,446,141.12,148.32,297.68,14.17,6784,46472,0.80855,0.03953,0.36491,0.23881,12,4411,0.24932,0.24932,39468.06,53256,831.21,0.0,0.0
25,2017-08-01,2017,8,31,0.0143,0.0655,0.29,446,149.76,131.04,296.24,14.17,5901,45701,0.80855,0.03953,0.36491,0.23881,37,4488,0.24932,0.24932,41071.15,51602,840.3,1181.6,0.0
26,2017-09-01,2017,9,31,0.0152,0.0698,0.29,446,168.48,214.56,231.44,14.17,7973,55665,0.80855,0.03953,0.36491,0.23881,31,3580,0.24932,0.24932,48950.71,63638,981.1,1569.91,0.0
27,2017-10-01,2017,10,30,0.0165,0.076,0.29,446,187.2,210.24,235.76,14.17,6876,52560,0.80855,0.03953,0.36491,0.23881,52,3812,0.24932,0.24932,46188.46,59436,1118.06,1391.82,0.0
28,2017-11-01,2017,11,31,0.0165,0.076,0.29,446,175.68,226.08,219.92,14.17,6130,50185,0.80855,0.03953,0.36491,0.23881,65,3676,0.24932,0.24932,45433.25,56315,0.0,3853.85,0.0
29,2017-12-01,2017,12,30,0.0165,0.076,0.29,446,146.88,236.16,209.84,14.17,7171,59628,0.80855,0.03953,0.36491,0.23881,52,2862,0.24932,0.24932,52776.12,66799,0.0,4326.99,0.0
30,2018-01-01,2018,1,31,0.0149,0.0684,0.29,446,136.8,208.8,237.2,14.17,3988,45313,0.80855,0.03953,0.36491,0.23881,481,5245,0.24932,0.24932,37609.63,49301,0.0,1405.34,0.0
31,2018-02-01,2018,2,31,0.0116,0.0534,0.29,446,79.2,131.04,314.96,14.17,4082,45646,0.80855,0.03953,0.36491,0.23881,687,5301,0.24932,0.24932,35419.19,49728,0.0,0.0,0.0
32,2018-03-01,2018,3,28,0.0089,0.0411,0.29,446,191.52,280.8,165.2,14.17,5672,51210,0.80855,0.03953,0.36491,0.23881,341,3695,0.24932,0.24932,39670.34,56882,0.0,0.0,0.0
33,2018-04-04,2018,4,31,0.0089,0.0411,0.29,446,191.52,231.84,214.16,14.17,7851,60564,0.80855,0.03953,0.36491,0.23881,28,2558,0.24932,0.24932,46587.03,68415,0.0,0.0,0.0
