,DATA,ANO,MÊS,PERÍODO,PIS_PASEP,COFINS,ICMS,DEMANDA_CONTRATADA_FP,DEMANDA_REGISTRADA_FP,TAR_TUSD_KW_FP,ENERGIA_PONTA,ENERGIA_FPONTA,TAR_TUSD_KWH_P,TAR_TUSD_KWH_FP,TAR_TE_KWH_P,TAR_TE_KWH_FP,REAT_KVAR_PONTA,REAT_KVAR_FPONTA,TAR_REAT_PONTA,TAR_REAT_FPONTA,VALOR_DA_FATURA,CONSUMO_TOTAL,ACRESCIMO_BAMAR,ACRESCIMO_BVERM1,ACRESCIMO_BVERM2
0,2013-03-01,2013,3,33.0,0.0,0.0,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.5393534,0.35007,0.22287,0.0,0.0,0.23347,0.23347,635.65,1160.0,0.0,0.0,0
1,2013-04-01,2013,4,29.0,0.0,0.0,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.528141,0.35007,0.22287,0.0,0.0,0.23347,0.23347,823.9,1560.0,0.0,0.0,0
2,2013-05-01,2013,5,32.0,0.0,0.0,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.3768333,0.35007,0.22287,0.0,0.0,0.23347,0.23347,723.52,1920.0,0.0,0.0,0
3,2013-06-01,2013,6,29.0,0.0008,0.0035,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.3790094,0.35007,0.22287,0.0,0.0,0.23347,0.23347,803.5,2120.0,0.0,0.0,0
4,2013-07-01,2013,7,28.0,0.0022,0.0101,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.383119,0.35007,0.22287,0.0,0.0,0.23347,0.23347,986.36,2520.0,0.0,0.0,0
5,2013-08-01,2013,8,31.0,0.0018,0.0084,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.440507,0.35007,0.22287,0.0,0.0,0.23347,0.23347,1251.04,2840.0,0.0,0.0,0
6,2013-09-01,2013,9,32.0,0.0023,0.0105,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.4420606,0.35007,0.22287,0.0,0.0,0.23347,0.23347,1750.56,3960.0,0.0,0.0,0
7,2013-10-01,2013,10,29.0,0.0031,0.0142,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.4447778,0.35007,0.22287,0.0,0.0,0.23347,0.23347,2437.94,5400.0,0.0,0.0,0
8,2013-11-01,2013,11,33.0,0.003,0.0137,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.4444139,0.35007,0.22287,0.0,0.0,0.23347,0.23347,3253.11,7320.0,0.0,0.0,0
9,2013-12-01,2013,12,31.0,0.002,0.0095,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.4412829,0.35007,0.22287,0.0,0.0,0.23347,0.23347,2012.25,4560.0,0.0,0.0,0
10,2014-01-01,2014,1,30.0,0.003,0.0137,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.4444414,0.35007,0.22287,0.0,0.0,0.23347,0.23347,2008.75,4520.0,0.0,0.0,0
11,2014-02-01,2014,2,31.0,0.0017,0.0077,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.440034,0.35007,0.22287,0.0,0.0,0.23347,0.23347,2869.02,6520.0,0.0,0.0,0
12,2014-03-01,2014,3,33.0,0.0,0.0,0.25,0,70.08,11.54,1244.16,13581.84,0.848605,0.434517,0.35007,0.22287,0.0,0.0,0.23347,0.23347,2572.34,5920.0,0.0,0.0,0
