,DATA,ANO,MÊS,PERÍODO,PIS_PASEP,COFINS,ICMS,DEMANDA_CONTRATADA_FP,DEMANDA_REGISTRADA_P,DEMANDA_REGISTRADA_FP,DEMANDA_ISENTA_FP,TAR_TUSD_KW_FP,ENERGIA_PONTA,ENERGIA_FPONTA,TAR_TUSD_KWH_P,TAR_TUSD_KWH_FP,TAR_TE_KWH_P,TAR_TE_KWH_FP,REAT_KVAR_PONTA,REAT_KVAR_FPONTA,TAR_REAT_PONTA,TAR_REAT_FPONTA,VALOR_DA_FATURA,CONSUMO_TOTAL,ACRESCIMO_BAMAR,ACRESCIMO_BVERM1,ACRESCIMO_BVERM2
0,2014-01-01,2014,1,29,0.008,0.037,0.29,227.0,118.08,108.0,0.0,5.49,1845,17525,0.45028,0.01751,0.218,0.13276,54,1265,0.13987,0.13987,6436.72,19370,0.0,0.0,0.0
1,2014-02-01,2014,2,31,0.008,0.037,0.29,227.0,61.92,60.48,165.08,5.49,2485,20233,0.45028,0.01751,0.218,0.13276,11,804,0.13987,0.13987,8236.73,22718,0.0,0.0,0.0
2,2014-03-01,2014,3,28,0.008,0.037,0.29,227.0,61.92,60.48,165.08,5.49,2160,18505,0.45028,0.01751,0.218,0.13276,37,833,0.13987,0.13987,7572.5,20665,0.0,0.0,0.0
3,2014-04-04,2014,4,31,0.008,0.037,0.29,227.0,66.24,64.8,160.76,5.49,3362,23250,0.45028,0.01751,0.218,0.13276,0,754,0.13987,0.13987,9874.05,26612,0.0,0.0,0.0
4,2014-05-05,2014,5,30,0.008,0.037,0.29,227.0,69.12,69.12,157.88,5.49,3622,22987,0.45028,0.01751,0.218,0.13276,0,676,0.13987,0.13987,9887.89,26609,0.0,0.0,0.0
5,2014-06-01,2014,6,31,0.008,0.037,0.29,227.0,72.0,66.24,155.0,5.49,3396,24294,0.45028,0.01751,0.218,0.13276,0,705,0.13987,0.13987,9964.69,27690,0.0,0.0,0.0
6,2014-07-01,2014,7,30,0.008,0.037,0.29,227.0,72.0,69.12,155.0,5.87,3980,24379,0.48726,0.02106,0.29806,0.17783,0,583,0.18785,0.18785,12985.19,28359,0.0,0.0,0.0
7,2014-08-01,2014,8,31,0.008,0.037,0.29,227.0,72.0,66.24,155.0,5.87,3517,23165,0.48726,0.02106,0.29806,0.17783,1,1166,0.18785,0.18785,12360.63,26682,79.55,1.98,0.0
8,2014-09-01,2014,9,31,0.008,0.037,0.29,227.0,82.08,76.32,144.92,5.87,3827,25955,0.48726,0.02106,0.29806,0.17783,4,1582,0.18785,0.18785,13551.02,29782,0.0,0.0,0.0
9,2014-10-01,2014,10,30,0.008,0.037,0.29,227.0,86.04,92.16,134.84,5.87,3882,26426,0.48726,0.02106,0.29806,0.17783,18,1324,0.18785,0.18785,13705.37,30308,0.0,0.0,0.0
10,2014-11-01,2014,11,31,0.008,0.037,0.29,227.0,79.2,95.04,131.96,5.87,3583,27798,0.48726,0.02106,0.29806,0.17783,35,1675,0.18785,0.18785,13864.4,31381,0.0,0.0,0.0
11,2014-12-01,2014,12,30,0.008,0.037,0.29,227.0,77.76,67.68,149.24,5.87,3336,25768,0.48726,0.02106,0.29806,0.17783,20,1079,0.18785,0.18785,12812.04,29104,0.0,0.0,0.0
12,2015-01-01,2015,1,31,0.008,0.037,0.29,227.0,59.04,57.6,167.96,5.87,2251,23242,0.48726,0.02106,0.29806,0.17783,132,2079,0.18785,0.18785,11981.19,25493,0.0,890.38,0.0
13,2015-02-01,2015,2,31,0.0107,0.0493,0.29,227.0,69.12,156.96,70.04,5.87,2692,30383,0.48726,0.02106,0.29806,0.17783,59,1181,0.18785,0.18785,15301.99,33075,0.0,1518.63,0.0
14,2015-03-01,2015,3,28,0.0107,0.0493,0.29,227.0,96.48,113.76,113.24,5.87,4245,36182,0.48726,0.02106,0.29806,0.17783,0,524,0.18785,0.18785,25203.33,40427,0.0,3143.07,0.0
15,2015-04-04,2015,4,31,0.0107,0.0493,0.29,227.0,105.12,106.56,120.44,5.87,5100,40535,0.48726,0.02106,0.29806,0.17783,0,707,0.18785,0.18785,29710.65,45635,0.0,3861.4,0.0
16,2015-05-05,2015,5,30,0.0107,0.0493,0.29,227.0,103.68,112.32,114.68,5.87,5068,40059,0.48726,0.02106,0.29806,0.17783,0,561,0.18785,0.18785,29388.01,45127,0.0,3818.26,0.0
